# opcodes.tab - the CV8 opcode map, its one source (Iteration 518).
#
# Every one-byte opcode (0x00-0x7F) and every escape selector, with
# its Forth name and the engine's handler. tools/gen-opcodes.sh makes
# cv8-ops.h, the engine's dispatch tables, from it; the Forth sources
# that must declare the same numbers themselves - kernel.4's PRIMITIVE
# and OPCODE lines, cross.4's and shadow.4's constants - are CHECKED
# against it (tools/gen-opcodes.sh --check, run by tests/portability),
# and the Python tools read it. CV8.md 2.2 says what each kind is.
#
# Adding a primitive: a line here, then `make`, then the PRIMITIVE line
# in kernel.4 that --check will ask for, and the kernels rebuilt.
#
# kind     number  name        handler
direct    0x00    NOOP        L_noop
direct    0x01    EXIT        L_exit
direct    0x02    LIT         L_lit
direct    0x03    BRANCH      L_branch
direct    0x04    ?BRANCH     L_0branch
direct    0x05    DROP        L_drop
direct    0x06    DUP         L_dup
direct    0x07    SWAP        L_swap
direct    0x08    ROT         L_rot
direct    0x09    OVER        L_over
direct    0x0A    C@          L_cfetch
direct    0x0B    @           L_fetch
direct    0x0C    C!          L_cstore
direct    0x0D    !           L_store
direct    0x0E    AND         L_and
direct    0x0F    OR          L_or
direct    0x10    XOR         L_xor
direct    0x11    R>          L_fromr
direct    0x12    >R          L_tor
direct    0x13    R@          L_rfetch
direct    0x14    =           L_eq
direct    0x15    U<          L_ult
direct    0x16    <           L_lt
direct    0x17    +           L_plus
direct    0x18    NEGATE      L_negate
direct    0x19    LSHIFT      L_lshift
direct    0x1A    RSHIFT      L_rshift
direct    0x1B    UM*         L_ummult
direct    0x1C    UM/MOD      L_umdiv
direct    0x1D    D+          L_dplus
direct    0x1E    TYPE        L_type
direct    0x1F    SP@         L_spfetch
direct    0x20    SP!         L_spstore
direct    0x21    RP@         L_rpfetch
direct    0x22    RP!         L_rpstore
synth     0x23    LIT32       L_lit32
synth     0x24    DOVAR       L_dovar
synth     0x25    DODOES      L_dodoes
synth     0x26    LIT8        L_lit8
synth     0x27    LIT8;EXIT   L_lit8x
fold      0x28    +;EXIT      LX_plus
fold      0x29    =;EXIT      LX_eq
fold      0x2A    !;EXIT      LX_store
fold      0x2B    @;EXIT      LX_fetch
fold      0x2C    LSHIFT;EXIT LX_lshift
fold      0x2D    RSHIFT;EXIT LX_rshift
fold      0x2E    C@;EXIT     LX_cfetch
fold      0x2F    C!;EXIT     LX_cstore
fold      0x30    AND;EXIT    LX_and
fold      0x31    OR;EXIT     LX_or
fold      0x32    XOR;EXIT    LX_xor
fold      0x33    LIT;EXIT    LX_lit
fold      0x34    <;EXIT      LX_lt
fold      0x35    U<;EXIT     LX_ult
fold      0x36    OVER;EXIT   LX_over
fold      0x37    DROP;EXIT   LX_drop
fold      0x38    DUP;EXIT    LX_dup
fold      0x39    SWAP;EXIT   LX_swap
fold      0x3A    ROT;EXIT    LX_rot
fold      0x3B    >R;EXIT     LX_tor
fold      0x3C    R>;EXIT     LX_fromr
fold      0x3D    R@;EXIT     LX_rfetch
fold      0x3E    NEGATE;EXIT LX_negate
branch8   0x3F    BRANCH8     L_branch8
branch8   0x40    ?BRANCH8    L_0branch8
spec      0x61    push0       L_lit0
spec      0x62    push1       L_lit1
spec      0x63    push-1      L_litm1
spec      0x64    VAR@        L_vf
spec      0x65    VAR!        L_vs
spec      0x66    LSAVE       L_lsave
spec      0x67    LRESTORE    L_lrest
spec      0x68    L!          L_lstore
spec      0x69    LZERO       L_lzero
tiny      0x6A    0=          L_zeq
tiny      0x6B    -           L_sub
tiny      0x6C    <>          L_ne
tiny      0x6D    0<          L_zlt
tiny      0x6E    >           L_sgt
tiny      0x6F    2DUP        L_2dup
tiny      0x70    2DROP       L_2drop
tiny      0x71    CHAR+       L_charp
tiny      0x72    1+          L_onep
tiny      0x73    CELL+       L_cellp
tiny      0x74    CELLS       L_cells
tiny      0x75    1-          L_onem
tiny      0x76    INVERT      L_invert
tiny      0x77    COUNT       L_count
tiny      0x78    ALIGNED     L_aligned
spec      0x79    ADDI        L_addi
spec      0x7A    ADDI;EXIT   L_addix
spec      0x7B    EQI         L_eqi
spec      0x7C    EQI;EXIT    L_eqix
lit64     0x7D    LIT64       L_lit64
esc       0x7E    ESC         L_esc
escaped   0       BYE         L_bye
escaped   1       OPEN-FILE   L_openfile
escaped   2       CLOSE-FILE  L_closefile
escaped   3       SYSTEM      L_system
escaped   4       REPOSITION-FILE L_reposfile
escaped   5       FILE-POSITION L_filepos
escaped   6       DELETE-FILE L_delfile
escaped   7       FILE-SIZE   L_filesize
escaped   8       FORK        L_fork
escaped   9       EXECVE      L_execve
escaped   10      WAITPID     L_waitpid
escaped   11      PIPE        L_pipe
escaped   12      DUP2        L_dup2
escaped   13      GETENV      L_getenv
escaped   14      SETENV      L_setenv
escaped   15      SYS-EXIT    L_sysexit
escaped   16      CHDIR       L_chdir
escaped   17      GETCWD      L_getcwd
escaped   18      SYS-ARGC    L_sysargc
escaped   19      SYS-ARG     L_sysarg
escaped   20      GETPID      L_getpid
escaped   21      UNSETENV    L_unsetenv
escaped   22      ALLOCATE    L_allocate
escaped   23      FREE        L_free
escaped   24      RESIZE      L_resize
escaped   25      GETPWHOME   L_getpwhome
escaped   26      GETFSIZE    L_getfsize
escaped   27      SETFSIZE    L_setfsize
escaped   28      READ        L_read
escaped   29      WRITE       L_write
escaped   30      POLL        L_poll
escaped   31      RAW-MODE    L_rawmode
escaped   32      MOVE        L_move
escaped   33      FILL        L_fill
escaped   34      COMPARE     L_compare
escaped   35      SCAN        L_scan
escaped   36      CSTRLEN     L_cstrlen
escaped   37      ISATTY      L_isatty
escaped   38      OPEN-DIR    L_opendir
escaped   39      READ-DIR    L_readdir
escaped   40      CLOSE-DIR   L_closedir
escaped   41      ACCESS      L_access
escaped   42      KILL        L_kill
escaped   43      UMASK       L_umask
escaped   44      CPU-TIMES   L_cputimes
escaped   45      SIGNAL-ACTION L_sigaction
escaped   46      SIGNALS-PENDING L_sigpending
escaped   47      TERM-RAW    L_termraw
escaped   48      TERM-RESTORE L_termrestore
escaped   49      FILE-KIND   L_filekind
escaped   50      GETRLIMIT   L_getrlimit
escaped   51      SETRLIMIT   L_setrlimit
escaped   52      WAIT-NOHANG L_waitnohang
escaped   53      GETPPID     L_getppid
escaped   54      ENV-AT      L_envat
escaped   55      SETPGID     L_setpgid
escaped   56      TCSETPGRP   L_tcsetpgrp
escaped   57      TCGETPGRP   L_tcgetpgrp
escaped   58      WAIT-JOB    L_waitjob
escaped   59      FILE-MODE   L_filemode
escaped   60      LOCAL-TIME  L_localtime
escaped   61      DUP-FROM    L_dupfrom
escaped   62      TCP-LISTEN  L_tcplisten
escaped   63      TCP-ACCEPT  L_tcpaccept
